Datetime,Change_1D_%,Volume_1D,Change_2D_%,Volume_2D,Change_3D_%,Volume_3D,Change_5D_%,Volume_5D,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive
2022-10-07 00:00:00+00:00,-2.79,92610633.0,-3.8,167177754.0,-4.01,245666608.0,1.57,416501275.0,-0.41,0.0,-1.01,0.0,-1.36,0.0
2022-10-10 00:00:00+00:00,-0.75,66755409.0,-3.52,159366042.0,-4.53,233933163.0,-1.78,401942100.0,-0.44,0.0,0.28,1.0,0.82,1.0
2022-10-11 00:00:00+00:00,-0.65,85149301.0,-1.4,151904710.0,-4.15,244515343.0,-5.35,397571318.0,0.06,1.0,0.16,1.0,0.01,1.0
2022-10-12 00:00:00+00:00,-0.33,68713503.0,-0.98,153862804.0,-1.72,220618213.0,-5.46,387795967.0,0.86,1.0,3.2,1.0,3.53,1.0
2022-10-13 00:00:00+00:00,2.64,139185332.0,2.3,207898835.0,1.64,293048136.0,-1.94,452414178.0,-1.76,0.0,-1.7,0.0,-2.37,0.0
2022-10-14 00:00:00+00:00,-2.27,110087551.0,0.31,249272883.0,-0.02,317986386.0,-1.41,469891096.0,0.75,1.0,0.65,1.0,0.78,1.0
2022-10-17 00:00:00+00:00,2.56,83754594.0,0.23,193842145.0,2.88,333027477.0,1.87,486890281.0,-0.81,0.0,-1.67,0.0,-1.34,0.0
2022-10-18 00:00:00+00:00,1.18,89402750.0,3.77,173157344.0,1.41,283244895.0,3.75,491143730.0,0.7,1.0,0.15,1.0,-0.21,0.0
2022-10-19 00:00:00+00:00,-0.7,71019778.0,0.47,160422528.0,3.04,244177122.0,3.37,493450005.0,1.12,1.0,0.61,1.0,0.04,1.0
2022-10-20 00:00:00+00:00,-0.85,80609733.0,-1.54,151629511.0,-0.38,241032261.0,-0.15,434874406.0,0.89,1.0,1.0,1.0,1.45,1.0
