Datetime,SPY_Daily_Close,Change_1D_%,Volume_1D_%,Change_2D_%,Volume_2D_%,Change_3D_%,Volume_3D_%,Change_5D_%,Volume_5D_%,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive,EURUSD=X_Daily_Close,EURUSD=X_Change_1H_%,EURUSD=X_Change_7H_%,EURUSD=X_Change_24H_%,^FTSE_Daily_Close,^FTSE_Change_1H_%,^FTSE_Change_24H_%,^NQSG_Daily_Close,^NQSG_Change_24H_%
2022-05-12 00:00:00+00:00,392.3800048828125,-0.1,-8.81,-1.68,-5.87,-1.47,-14.45,-5.19,-0.39,1.09,1.0,1.24,1.0,1.41,1.0,1.0380982160568235,-0.031144844535246907,0.19723722902746932,-1.2768641133390268,7240.6201171875,-0.14149683611942576,-0.22378475538601394,901.7042236328124,-6.4099358436900395
2022-05-13 00:00:00+00:00,401.6900024414063,2.37,-19.92,2.27,-16.01,0.65,-14.26,-2.36,-9.26,0.4,1.0,-0.22,0.0,0.1,1.0,1.0416667461395264,0.07291765801815675,0.1770899265329584,0.312504591941698,7421.9501953125,0.3013695683316886,1.3894347409512786,909.2650756835938,-5.819606989304105
2022-05-16 00:00:00+00:00,400.2099914550781,-0.37,-24.11,2.0,-32.82,1.89,-27.54,0.49,-18.26,-0.49,0.0,-0.25,0.0,-0.09,0.0,1.0441683530807495,0.031325744805865696,0.13574559761386773,0.38634292100230283,7453.10986328125,0.10973791513833042,4.056656728635866,909.2073974609376,-5.676779193195047
2022-05-17 00:00:00+00:00,408.2699890136719,2.01,6.39,1.64,-30.35,4.05,-34.64,2.3,-28.93,-0.76,0.0,-1.6,0.0,-1.95,0.0,1.0551862716674805,0.0,0.06331716132470522,1.0551860295538784,7516.52001953125,0.12335065250641541,2.4501313883614317,917.9249877929688,-4.383719560355215
2022-05-18 00:00:00+00:00,391.9200134277344,-4.0,33.69,-2.07,7.27,-2.43,-26.88,-0.22,-32.65,0.25,1.0,0.24,1.0,0.79,1.0,1.0475592613220217,-0.02094567265927827,-0.15712285543888482,-0.7228117490010622,7449.89990234375,-0.3347195661324798,0.4247520694420803,923.5198974609376,-2.401104597902959
2022-05-19 00:00:00+00:00,389.4500122070313,-0.63,-10.91,-4.61,30.31,-2.69,-5.3,-0.75,-32.62,-0.49,0.0,-1.64,0.0,-2.18,0.0,1.0582010746002195,-0.02116297711167725,-0.14814391534584415,1.0158674235544174,7291.64990234375,0.014674061697239615,-3.21636939873442,917.7489013671876,-1.8960327730085158
2022-05-20 00:00:00+00:00,389.6199951171875,0.04,26.38,-0.59,15.38,-4.57,26.89,-3.0,-24.64,0.27,1.0,0.76,1.0,0.92,1.0,1.0561892986297607,-0.021124305025033152,0.021133233522463435,-0.2429197752234935,7387.7998046875,-0.05465539226903182,-1.7953286522452983,931.027099609375,0.7405119899383195
2022-05-23 00:00:00+00:00,396.9299926757813,1.88,-39.95,1.92,-4.7,1.28,9.87,-0.82,-15.68,-0.91,0.0,-1.01,0.0,-0.45,0.0,1.0686043500900269,0.0,0.05341925059689778,1.0792829542415117,7505.509765625,0.08948046503796103,3.675421730482209,928.6087036132812,0.4032940076800884
2022-05-24 00:00:00+00:00,393.989990234375,-0.74,19.8,1.12,-26.31,1.17,-1.01,-3.5,-6.25,1.04,1.0,0.92,1.0,0.36,1.0,1.0736525058746338,-0.05368821859871309,0.03219840705073196,0.4724064415591922,7486.259765625,-0.0005348311388098104,0.6883542202938298,925.2175903320312,2.6076584852278373
2022-05-25 00:00:00+00:00,397.5499877929688,0.9,-4.69,0.16,-12.21,2.04,-25.15,1.44,-5.72,1.16,1.0,1.39,1.0,1.76,1.0,1.0689470767974854,-0.021385017732389322,0.2886198811520524,-0.4382636888007996,7531.990234375,-0.04790412488014928,1.0849376685579948,919.3048095703124,1.1041591891309155
2022-05-26 00:00:00+00:00,405.2900085449219,1.95,-10.72,2.87,-1.67,2.11,-15.66,4.07,-4.57,0.93,1.0,0.96,1.0,1.09,1.0,1.0735372304916382,0.03220186559769189,0.22543670849941577,0.42940888223435003,7573.43017578125,0.09781075194177369,1.105246515003011,927.9381103515624,2.060114440658145
2022-05-27 00:00:00+00:00,415.3299865722656,2.48,1.41,4.47,-12.25,5.42,-17.3,6.6,-18.39,-0.47,0.0,-0.49,0.0,0.17,1.0,1.0738831758499146,0.010735595927702235,0.19330430802786402,0.0,7591.85986328125,0.03597224597424731,0.8753661713619909,936.0177001953124,1.353279205866098
2022-05-31 00:00:00+00:00,412.9500122070313,-0.57,11.63,1.89,1.23,3.87,-3.97,4.04,-15.55,-1.18,0.0,-1.54,0.0,-1.84,0.0,1.0738831758499146,-0.032215150597780795,0.0429562185290111,-0.3543750501912357,7594.2900390625,-0.33517859060689936,0.24777202730448256,938.7017822265624,2.2830733796750824
2022-06-01 00:00:00+00:00,409.6199951171875,-0.81,-0.25,-1.37,12.27,1.07,-0.6,3.97,-17.41,-0.25,0.0,0.65,1.0,1.22,1.0,1.0654165744781494,-0.01065077821164051,0.0958807347145596,-0.788409909212362,7529.25,-0.4525691950946209,-0.9546375196574419,939.4572143554688,0.9054639493985439
2022-06-02 00:00:00+00:00,417.3800048828125,1.89,-11.82,1.07,-0.98,0.49,3.92,4.99,-15.01,0.05,1.0,-0.54,0.0,-0.28,0.0,1.075384497642517,0.02151005223505198,0.032268548843439326,0.9355892711965685,7529.25,-0.4525691950946209,-0.9546375196574419,935.5028076171876,0.7424121674803219
